impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwd, avg, state or private moist forest, at forest rd, INW - US",Pulpwood; softwd; avg; state or private moist forest; at forest rd,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwood, average, at forest road, INW - US",Pulpwood; softwood; average; at forest road,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwood, average, at forest road, NE-NC - RNA","Pulpwood, softwood, average, at forest road",m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwood, average, state or private dry forest, at forest road, INW - US",Pulpwood; softwood; average; state or private dry forest; at forest road,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwood, national forest, average, at forest road, INW - US",Pulpwood; softwood; national forest; average; at forest road,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at logyard, NE-NC - US",Roundwood; hardwood; green; at logyard,m3,0.093768,0.013386,143.42,20.39,3.1805e-07,5.6733e-05,0.0020201,9.0934e-08,3.233
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at logyard, SE - US",Roundwood; hardwood; green; at logyard,m3,0.038692,0.0057623,83.028,9.3726,1.9577e-07,3.2847e-05,0.00094636,5.6111e-08,1.322
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at mill, E - US",Roundwood; hardwood; green; at mill,m3,0.088303,0.014898,14.932,22.549,3.486e-08,5.8918e-06,0.0019542,4.7195e-08,3.1036
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at mill, NE-NC - US",Roundwood; hardwood; green; at mill,m3,0.017168,0.0057437,7.4296,11.3,1.7246e-08,2.9312e-06,0.00079945,2.3459e-08,0.60107
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at mill, SE - US",Roundwood; hardwood; green; at mill,m3,0.0080434,0.0026909,3.4808,5.294,8.0799e-09,1.3733e-06,0.00037454,1.099e-08,0.2816
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Skidding, aerial cable yarder, medium - US",Skidding; aerial cable yarder; medium,h,1.2421,0.1251,75.741,110.3,1.7967e-07,2.9891e-05,0.014956,2.4011e-07,43.731
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Skidding, wheeled cable skidder, 120-160 HP - RNA","Skidding, wheeled cable skidder, 120-160 HP",h,0.57864,0.058263,35.263,51.377,8.3651e-08,1.3916e-05,0.0069666,1.1179e-07,20.372
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Corn grain, harvested and stored - RNA","Corn grain, harvested and stored",kg,0.00033116,0.0001708,1.8905,0.16001,4.4538e-10,6.0855e-08,1.4449e-05,4.1339e-10,0.0022268
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Corn stover, carted - RNA","Corn stover, carted",kg,0.0014972,0.0002179,0.026226,0.038493,6.2206e-11,1.0522e-08,5.3303e-05,1.2755e-11,0.00039269
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Corn stover, ground and stored - RNA","Corn stover, ground and stored",kg,0.0020036,0.00028644,2.1724,0.091527,4.6832e-09,8.5972e-07,7.3723e-05,8.1093e-10,0.0025052
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Fertilizer, corn, 2022 - RNA","Fertilizer, corn",m2,0.00034063,0.0001764,0.14681,0.079967,3.6112e-10,6.2521e-08,1.4846e-05,4.2467e-10,0.0021759
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Fertilizer, stover, 2022 - RNA","Fertilizer, stover",m2,0.00063235,9.1724e-05,0.010682,0.015657,2.5359e-11,4.2887e-09,2.2503e-05,4.0976e-12,0.00013285
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Fertilizer, switchgrass, 2022 - RNA","Fertilizer, switchgrass",m2,0.0028067,0.0001775,0.025629,0.064691,5.4619e-11,1.0056e-08,9.9406e-05,1.0074e-11,0.00033328
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Fertilizer, winter wheat straw, 2022 - RNA","Fertilizer, winter wheat straw",m2,0.00010074,1.6969e-05,0.0017728,0.0026672,4.3011e-12,7.1477e-10,3.5886e-06,7.3007e-13,2.6983e-05
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production",Grinding - RNA,Grinding,kg,2.9948e-05,2.5851e-06,0.73438,0.014509,1.5806e-09,2.9056e-07,1.8868e-06,2.7283e-10,0.00068758
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Harvest, corn, single pass - RNA","Harvest, corn, single pass",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Harvest, switchgrass - RNA","Harvest, switchgrass",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Harvest, wheat, single pass - RNA","Harvest, wheat, single pass",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Harvesting, fresh fruit bunch, at farm, 2003 - RNA","Harvesting, fresh fruit bunch, at farm",kg,0.00063645,6.3294e-05,0.037758,0.064349,8.9648e-11,1.4902e-08,7.6103e-06,1.1969e-10,0.022329
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Lime, agricultural, corn production - RNA","Lime, agricultural, corn production",m2,0.00017904,3.7098e-06,0.089401,0.062851,2.3075e-10,3.9697e-08,8.9957e-06,4.0243e-10,0.0014232
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Pesticide, corn, 2022 - RNA","Pesticide, corn",m2,1.4854e-08,4.9693e-09,1.8191,9.7764e-06,9.8324e-11,1.2265e-10,6.9166e-10,2.0296e-14,5.2003e-07
