impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"31-33: Manufacturing/3212: Veneer, Plywood, and Engineered Wood Product Manufacturing","Wood Combusted, at boiler, at hardboard mill - RNA","Wood Combusted, at boiler, at hardboard mill",kg,0.0014097,0.00013234,0.078436,1.8365,3.7124e-10,3.4469e-08,0.00016216,2.4843e-10,0.050722
31-33: Manufacturing/3219: Other Wood Product Manufacturing,"Engineered flooring, hardwood, unfinished, E - US",Engineered flooring; hardwood; unfinished,m3,1.3183,0.35769,11228.0,781.58,0.00013493,0.0044553,0.30724,7.9283e-05,41.68
31-33: Manufacturing/3219: Other Wood Product Manufacturing,"Prefinished engineered wood flooring, at engineered wood flooring plant, E - US",Prefinished engineered wood flooring; at engineered wood flooring plant,m3,1.9523,0.44213,21346.0,1096.1,0.00016506,0.0084644,0.37264,9.047e-05,56.617
31-33: Manufacturing/3219: Other Wood Product Manufacturing,"Pressed raw panels, hardwood, at engineered wood flooring plant, E - US",Pressed raw panels; hardwood; at engineered wood flooring plant,kg,0.0019488,0.00054692,15.522,1.1736,2.0705e-07,6.1618e-06,0.00047545,1.2349e-07,0.062229
31-33: Manufacturing/3219: Other Wood Product Manufacturing,"Pressed raw panels, purchased, hardwood, at eng wood flooring plant, E - US",Pressed raw panels; purchased; hardwood; at eng wood flooring plant,kg,0.0020128,0.00056759,15.642,1.2155,2.0758e-07,6.2095e-06,0.00047909,1.2379e-07,0.064414
31-33: Manufacturing/3219: Other Wood Product Manufacturing,"Solid strip and plank flooring, hardwood, E - US",Solid strip and plank flooring; hardwood,m3,1.8203,0.67454,6224.0,1305.2,0.00027752,0.0024974,0.65393,0.000181,53.992
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.) - RNA","Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.)",kg,0.00046315,2.1874e-05,0.95779,2.9019,7.0101e-09,9.4198e-07,0.00046136,4.7738e-08,0.0037431
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Containerboard, 100% recycled, at mill - US","Containerboard, 100% recycled, at mill",kg,0.0014615,0.00020122,12.813,0.58221,2.7638e-08,5.0691e-06,7.7731e-05,9.0034e-09,0.036052
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Containerboard, average production, at mill - US","Containerboard, average production, at mill",kg,0.0039378,0.00063172,10.084,1.8425,2.3252e-08,4.0931e-06,0.00045573,4.4491e-08,0.061818
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Diesel, combusted in industrial boiler, at pulp and paper mill (EXCL.) - RNA","Diesel, combusted in industrial boiler, at pulp and paper mill (EXCL.)",l,0.0010358,0.0015147,2.2979,3.4159,5.6208e-09,9.5353e-07,0.00010364,7.3086e-09,0.04057
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Fuels, burned at bleached kraft market pulp mill, average production, at mill - RNA","Fuels, burned at bleached kraft market pulp mill, average production, at mill",MJ,0.00044274,4.0025e-05,0.018398,0.27171,1.2222e-08,1.504e-08,4.722e-05,4.5368e-08,0.0054795
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Fuels, burned at coated freesheet, average production, at mill - RNA","Fuels, burned at coated freesheet, average production, at mill",MJ,0.00062319,2.8602e-05,0.024403,0.14237,7.6375e-09,1.839e-08,5.3934e-05,1.7402e-08,0.0036821
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Fuels, burned at coated mechanical paper, average production, at mill - RNA","Fuels, burned at coated mechanical paper, average production, at mill",MJ,0.00043764,2.8803e-05,0.026973,0.12992,7.8138e-09,1.6136e-08,4.2758e-05,1.6256e-08,0.0035686
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Fuels, burned at unbleached kraft bag sack paper, average production, at mill - RNA","Fuels, burned at unbleached kraft bag sack paper, average production, at mill",MJ,0.00037612,3.4035e-05,0.023647,0.19203,8.3791e-09,1.6111e-08,3.6369e-05,4.6118e-08,0.0036358
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Fuels, burned at uncoated freesheet, average production, at mill - RNA","Fuels, burned at uncoated freesheet, average production, at mill",MJ,0.00044498,2.815e-05,0.023441,0.16954,7.3975e-09,1.6755e-08,4.0555e-05,2.4683e-08,0.0038349
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Fuels, burned at uncoated mechanical paper, average production, at mill - RNA","Fuels, burned at uncoated mechanical paper, average production, at mill",MJ,0.00045187,2.4666e-05,0.024727,0.12862,4.8825e-09,1.4296e-08,3.6588e-05,1.0606e-08,0.003421
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Gasoline, combusted in equipment, at pulp and paper mill (EXCL.) - RNA","Gasoline, combusted in equipment, at pulp and paper mill (EXCL.)",l,0.00081999,0.001291,1.9542,2.7098,4.6557e-09,7.7127e-07,0.00017344,6.2292e-09,0.05299
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Hog fuel, pur., combusted in industrial boiler, at pulp and paper mill (EXCL.) - RNA","Hog fuel, pur., combusted in industrial boiler, at pulp and paper mill (EXCL.)",kg,0.00067848,0.00090689,0.010792,1.8353,4.3763e-07,6.2284e-08,0.0010322,2.9565e-07,0.019023
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Hog fuel, self-gen., combusted in ind. boiler, at pulp and paper mill (EXCL.) - RNA","Hog fuel, self-gen., combusted in ind. boiler, at pulp and paper mill (EXCL.)",kg,0.00015048,0.000875,0.010792,1.8353,4.3763e-07,6.2284e-08,0.0010269,2.9565e-07,0.0011608
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.) - RNA","LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)",l,0.00060132,0.00094671,1.4326,2.1876,3.2363e-09,5.6484e-07,6.5557e-05,4.568e-09,0.025471
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.) - RNA","Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.)",m3,0.0020442,0.00011708,0.63948,2.2511,1.2799e-09,2.3461e-07,7.1997e-05,2.1445e-10,0.061142
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Paper, bag and sack, unbleached kraft, average production, at mill - RNA","Paper, bag and sack, unbleached kraft, average production, at mill",kg,0.0060337,0.0010952,10.533,2.8533,1.3175e-07,4.6658e-06,0.00053258,6.1429e-07,0.066075
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Paper, freesheet, coated, average production, at mill - RNA","Paper, freesheet, coated, average production, at mill",kg,0.012322,0.0012229,11.447,3.1001,1.6912e-07,5.5895e-06,0.0010471,3.6131e-07,0.090516
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Paper, freesheet, uncoated, average production, at mill - RNA","Paper, freesheet, uncoated, average production, at mill",kg,0.0089849,0.0017762,16.649,3.4674,1.6267e-07,7.5592e-06,0.00077062,4.4499e-07,0.091089
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Paper, mechanical, coated, average production, at mill - RNA","Paper, mechanical, coated, average production, at mill",kg,0.0074662,0.0010537,22.416,2.6567,1.6418e-07,9.0304e-06,0.00068198,2.8649e-07,0.086279
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Paper, mechanical, uncoated, average production, at mill - RNA","Paper, mechanical, uncoated, average production, at mill",kg,0.005018,0.0012345,11.392,1.6049,7.3423e-08,4.6982e-06,0.00039628,1.1923e-07,0.05294
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","Pulp, kraft market, bleached, average production, at mill - RNA","Pulp, kraft market, bleached, average production, at mill",kg,0.006741,0.001142,6.3643,3.8504,1.7403e-07,3.2788e-06,0.00066368,6.0641e-07,0.085054
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.) - RNA","RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)",l,0.0011207,0.0016483,2.5592,4.0146,6.4275e-09,1.0014e-06,0.00013838,7.9532e-09,0.044222
"31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills","TDF, combusted in industrial boiler, at pulp and paper mill (EXCL.) - RNA","TDF, combusted in industrial boiler, at pulp and paper mill (EXCL.)",kg,0.0003256,0.0,7.0282,3.075,1.6282e-09,4.0167e-07,4.16e-10,0.0,6.5078e-08
31-33: Manufacturing/3222: Converted Paper Product Manufacturing,"Corrugated product, 100% recycled, at mill - US","Corrugated product, 100% recycled, at mill",kg,0.00019559,3.2977e-05,0.063491,0.12107,1.4115e-10,2.4629e-08,5.6087e-06,1.4162e-10,0.0070397
31-33: Manufacturing/3222: Converted Paper Product Manufacturing,"Corrugated product, average production, at mill - US","Corrugated product, average production, at mill",kg,0.0044472,0.00072039,11.142,2.1378,2.5695e-08,4.5225e-06,0.00050564,4.9119e-08,0.072418
31-33: Manufacturing/3222: Converted Paper Product Manufacturing,"Packaging and information sheets, i2900 desktop scanner - GLO","Packaging and information sheets, i2900 desktop scanner",kg,0.0090759,0.0018001,17.464,3.5272,1.64e-07,7.8788e-06,0.00077521,4.4405e-07,0.094356
31-33: Manufacturing/3222: Converted Paper Product Manufacturing,"Scanner, packaging and information sheets - GLO","Scanner, packaging and information sheets",kg,0.0052961,0.0010142,12.546,2.5294,4.6381e-08,5.1673e-06,0.00049539,1.0673e-07,0.091468
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,"Lubricant feedstock, at refinery","Lubricant feedstock, at refinery",kg,0.0011106,0.0017485,2.6459,0.79048,5.9771e-09,1.0432e-06,8.7912e-05,8.4367e-09,0.046694
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,"Petroleum refined, for energy use, at plant","Petroleum refined, to energy use, at refinery",kg,0.0011106,0.0017485,2.6459,0.79048,5.9771e-09,1.0432e-06,8.7912e-05,8.4367e-09,0.046694
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,"Petroleum refined, for material use, at plant","Petroleum refined, to material use, at refinery",kg,0.0011106,0.0017485,2.6459,0.79048,5.9771e-09,1.0432e-06,8.7912e-05,8.4367e-09,0.046694
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,"Petroleum refining, at refinery - US","Diesel, at refinery",l,0.00096208,0.0015147,2.2921,0.68478,5.1779e-09,9.0371e-07,7.6157e-05,7.3086e-09,0.04045
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,"Slack wax, at plant, US SE - US",Slack wax; at plant,kg,0.0051333,0.00045212,1.2819,0.72184,3.0222e-09,5.096e-07,0.00010621,2.935e-09,0.19579
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,"White mineral oil, at plant - RNA","White mineral oil, at plant",kg,0.0038167,0.0021659,13.135,1.9214,2.9619e-08,5.1857e-06,0.00014309,1.3645e-08,0.105
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Acetic acid, at plant - RNA","Acetic acid, at plant",kg,0.0044269,0.00030141,4.47,1.2925,9.4679e-09,1.7438e-06,0.00024733,1.6473e-09,0.098689
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Acrylonitrile; at plant - US,Acrylonitrile; at plant,kg,0.0059416,0.00070254,6.7326,2.508,1.4336e-08,2.619e-06,0.00019903,4.7333e-09,4.1577
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Aniline; at plant - RNA,"Aniline, at plant",kg,0.0046401,0.0016192,8.2234,1.8773,1.7792e-08,3.2057e-06,0.00016272,9.3663e-09,0.12674
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Benzene, at plant - RNA","Benzene, at plant",kg,0.0030645,0.0017131,3.9874,1.3891,8.7964e-09,1.5648e-06,0.00012447,8.0887e-09,0.086877
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Butadiene, at plant - RNA","Butadiene, at plant",kg,0.0037703,0.0009657,8.3069,2.0183,1.7838e-08,3.2587e-06,0.00013529,6.4264e-09,0.11313
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Carbon monoxide, at plant - RNA","Carbon monoxide, at plant",kg,0.0051189,0.0002495,0.52519,1.3391,9.3621e-12,2.0011e-08,0.0002838,1.0212e-10,0.024891
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Chlorine; chlor-alkali electrolysis; at plant - US,Chlorine; chlor-alkali electrolysis; at plant,kg,0.0022223,0.00023451,11.248,0.99868,2.4306e-08,4.414e-06,8.5578e-05,2.8808e-08,0.055964
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Cobalt sulfate; at plant  - CN,Cobalt sulfate; at plant,kg,2.7882,0.0019815,19.413,6.0871,4.267e-08,7.5563e-06,2.4172,1.1629e-07,0.64074
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Crude cobalt hydroxide production; at plant - CD,Crude cobalt hydroxide; at plant; 35% cobalt and 0.47% copper,kg,2.548,0.0010173,2.9761,1.7825,6.9444e-09,1.1711e-06,2.2242,7.531e-09,0.34057
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Enzyme, Alpha-amylase, Novozyme Liquozyme - RER","Enzyme, Alpha-amylase, Novozyme Liquozyme",kg,0.0014,0.0,0.0,1.2,0.0,0.0,8.5556e-05,0.0,0.0044975
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Enzyme, Cellulase, Novozyme Celluclast - RER","Enzyme, Cellulase, Novozyme Celluclast",kg,0.015277,0.0,0.0,4.0894,0.0,0.0,0.00093359,0.0,0.01803
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Enzyme, Glucoamylase, Novozyme Spirizyme - RER","Enzyme, Glucoamylase, Novozyme Spirizyme",kg,0.009,0.0,0.0,4.4,0.0,0.0,0.00055,0.0,0.014392
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethanol, 85%, at blending terminal, 2022 - RNA","Ethanol, 85%, at blending terminal",kg,0.044424,0.51387,15.856,10.172,5.0811e-08,5.0398e-06,0.0017917,5.4115e-07,1.2888
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethanol, denatured, at refueling station, 2022 - RNA","Ethanol, denatured, at refueling station",kg,0.05458,0.634,18.923,12.37,6.1259e-08,5.9647e-06,0.002191,6.6608e-07,1.58
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethanol, denatured, corn dry mill - RNA","Ethanol, denatured, corn dry mill",kg,0.0028781,0.0011622,9.1564,2.4949,2.9658e-08,7.1635e-07,0.0001162,2.1575e-08,0.036931
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethanol, denatured, corn stover, biochemical - RNA","Ethanol, denatured, corn stover, biochemical",kg,0.081394,1.4065,45.457,29.829,1.003e-07,1.7944e-05,0.0039761,7.0433e-08,2.4411
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethanol, denatured, forest residues, thermochem - RNA","Ethanol, denatured, forest residues, thermochem",kg,0.3021,0.86766,16.99,46.659,1.5591e-07,5.9148e-06,0.010708,4.9913e-06,9.4653
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethanol, denatured, mixed feedstocks, at conversion facility, 2022 - RNA","Ethanol, denatured, mixed feedstocks, at conversion facility",kg,0.054527,0.63398,18.907,12.351,6.1222e-08,5.9584e-06,0.0021881,6.6603e-07,1.5781
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethanol, denatured, switchgrass, biochemical - RNA","Ethanol, denatured, switchgrass, biochemical",kg,0.018682,1.4189,27.028,5.9862,5.8134e-08,1.0665e-05,0.0013934,1.0942e-08,0.12011
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethanol, denatured, wheat straw, biochemical - RNA","Ethanol, denatured, wheat straw, biochemical",kg,0.0097162,1.2172,22.738,3.9083,4.897e-08,8.9783e-06,0.00044908,9.3581e-09,0.068113
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethylene dichloride-vinyl chloride monomer, EDC-VCM; at plant - US","Ethylene dichloride-vinyl chloride, EDC-VCM, monomer; at plant",kg,0.003645,0.00050101,10.664,1.8813,2.2966e-08,4.1653e-06,0.00012839,2.8775e-07,0.10282
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethylene glycol, materials production, organic compound, at plant, kg - RNA","Ethylene glycol, at plant, kg",kg,0.0027217,0.00029403,6.6624,1.8252,1.4232e-08,2.606e-06,8.5452e-05,2.9648e-09,0.08207
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethylene oxide, at plant - RNA","Ethylene oxide, at plant",kg,0.0040867,0.00020815,53.376,1.9459,3.4718e-05,0.0041076,0.000138,-1.5545e-09,0.10806
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Ethylene, materials production, organic compound, at plant, kg - US","Ethylene, at plant, kg",kg,0.0034517,0.00041739,1.9641,1.7866,4.0161e-09,7.3185e-07,0.00010719,1.5578e-09,0.10532
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Formic acid; electrochemical reduction of CO2; at plant - US,Formic acid; at plant,kg,0.0051531,0.00045919,126.32,2.496,2.7188e-07,4.9977e-05,0.0003246,4.6943e-08,0.11832
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Fuel grade uranium, at regional storage - RNA","Fuel grade uranium, at regional storage",kg,64.811,1.5364,104990.0,2532.0,0.00021042,0.038761,3.4349,3.7272e-05,458.43
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Hydrochloric acid, HCl; MDI coproduct; at plant, 100% HCl - RNA","Hydrochloric acid, at plant, kg",kg,0.0029155,0.00028601,16.549,1.3676,3.5738e-08,6.5073e-06,0.0001147,3.3142e-08,0.072257
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Hydrochloric acid, without water, in 30% solution state, at plant  - RNA","Hydrochloric acid, without water, in 30% solution state, at plant ",kg,0.0071641,0.00012827,0.16013,1.6807,3.2981e-10,3.4025e-08,0.00041295,1.3998e-07,0.10092
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Hydrogen, chlor-alkali average, membrane cell; at plant - RNA","Hydrogen, at plant",kg,0.0015556,0.00013038,31.284,0.71003,6.7334e-08,1.2377e-05,9.4041e-05,1.4817e-08,0.035404
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Hydrogen, liquid, synthesis gas, at plant - RNA","Hydrogen, at plant",kg,0.0086414,0.00050409,10.073,9.4322,2.109e-08,3.8946e-06,0.0001995,3.6563e-09,0.25471
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Hydrogen; proton exchange membrane water electrolysis; at plant - US,"Hydrogen, at plant",kg,0.06351,0.0063981,1308.0,29.489,2.8153e-06,0.00051752,0.0034782,4.9239e-07,1.4236
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Hydrogen; small scale-steam methane reforming; at plant - US,"Hydrogen, at plant",kg,0.011493,0.00056734,14.035,10.615,3.099e-08,5.4356e-06,0.00061486,5.1007e-09,0.26397
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Hydrogen; solid oxide electrolysis, at plant - US","Hydrogen, at plant",kg,0.05543,0.0055522,1142.9,25.615,2.4608e-06,0.00045218,0.0031022,4.2986e-07,1.2369
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Lithium hydroxide monohydrate; production from pre-treated lithium brine; at plant; 100% purity - CA,"Lithium hydroxide monohydrate, at plant",kg,0.076592,0.0044125,962.18,28.502,2.0711e-06,0.00038047,0.0045105,1.0603e-06,1.4685
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Lithium hydroxide monohydrate; production from spodumene concentrate; at plant; 100% purity - CA,"Lithium hydroxide monohydrate, at plant",kg,0.0086838,4.3429,54.921,8.1546,1.1871e-07,2.1724e-05,0.00034121,2.8254e-08,0.14681
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Methanol, at plant, kg - RNA","Methanol, at plant, kg",kg,0.003144,0.00017371,6.5325,1.0211,1.3935e-08,2.5651e-06,0.00032219,2.4098e-09,0.088471
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Oxygen, liquid, at plant - RNA","Oxygen, liquid, at plant",kg,0.00013359,1.1531e-05,3.2759,0.06472,7.0509e-09,1.2961e-06,8.4164e-06,1.217e-09,0.0030671
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Paraxylene, at plant, kg - RNA","Paraxylene, at plant, kg",kg,0.0017619,0.0018242,6.3938,1.4668,1.4038e-08,2.5236e-06,0.00011009,1.5071e-08,0.066528
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Potassium sulphate alum, as K2O, hardboard - RNA","Potassium sulphate alum, as K2O, hardboard",kg,0.067695,0.011365,21.137,23.302,5.0724e-08,8.2164e-06,0.00080716,4.8269e-08,1.2701
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Pre-treated lithium brine; at plant - CA,"Lithium brine, pre-treated, at plant",kg,2.0741e-05,1.0527e-06,0.24445,0.0073541,5.2612e-10,9.6673e-08,1.2489e-06,3.0139e-10,0.00038052
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Propylene oxide, at plant - RNA","Propylene oxide, at plant",kg,0.0080888,0.0008912,25.881,3.8441,5.5798e-08,1.0048e-05,0.00027459,4.7421e-08,3.0701
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Propylene, materials production, organic compound, at plant, kg - RNA","Propylene, at plant",kg,0.0034278,0.00050028,2.1389,1.7916,4.4099e-09,8.0171e-07,0.0001113,1.9829e-09,3.7006
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Purified terephthalic acid, PTA; at plant - RNA","Purified terephthalic acid, PTA, at plant, kg",kg,0.0019544,0.00127,13.817,1.448,2.9903e-08,5.4569e-06,0.00013192,5.2344e-07,0.06429
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Pyrolysis gasoline, at plant - RNA","Pyrolysis gasoline, at plant",kg,0.0032365,0.0010228,4.704,1.6,1.0117e-08,1.8359e-06,0.0001243,5.472e-09,0.10248
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Soy biodiesel, production, at plant - RNA","Soy biodiesel, production, at plant",kg,0.0024886,0.0010519,4.4477,0.66546,7.3535e-09,1.3315e-06,0.00010601,8.2601e-09,0.053097
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Spodumene mineral concentrate; beneficiation process; at plant; 5% lithium oxide - CA,"Spodumene mineral concentrate, 5% lithium oxide, at plant",kg,4.6053e-05,1.5832e-05,0.74341,0.044505,1.6023e-09,2.9391e-07,2.6521e-06,3.8567e-10,0.0011227
31-33: Manufacturing/3251: Basic Chemical Manufacturing,Styrene; at plant - RNA,"Styrene, at plant",kg,0.0049232,0.001557,7.8893,2.9864,1.7048e-08,3.0908e-06,0.00016278,8.3346e-09,0.14589
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Sulfuric acid, at plant - RNA","Sulfuric acid, at plant",kg,0.0028185,3.2712e-05,3.0661,0.065035,6.5379e-09,1.1401e-06,2.0793e-05,1.1246e-09,0.0036992
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Toluene, at plant - RNA","Toluene, at plant",kg,0.0024732,0.0019687,3.4951,1.1299,7.8507e-09,1.3782e-06,0.00010186,9.1468e-09,0.069779
31-33: Manufacturing/3251: Basic Chemical Manufacturing,"Xylenes, mixed, produced from naphtha, at plant, kg - RNA","Xylenes, mixed, at plant, kg",kg,0.0013043,0.001762,3.1856,1.0764,7.1342e-09,1.2558e-06,9.2576e-05,8.6429e-09,0.052681
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant - RNA","Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant",kg,0.0057819,0.0013266,19.361,3.155,4.1985e-08,7.6259e-06,0.00020581,6.1416e-08,1.071
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Carbon fiber, reinforced polymer; at plant - US","Carbon fiber, reinforced polymer, at plant",kg,0.057056,0.0049696,495.86,23.823,1.0704e-06,0.0001964,0.0024162,2.2122e-07,7.4874
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",Carbon fiber; at plant,"Carbon fiber, at plant",kg,0.067698,0.0056834,598.37,27.552,1.2918e-06,0.00023703,0.0029218,2.6754e-07,9.3719
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",Epoxy; at plant - US,"Epoxy, at plant",kg,0.011489,0.0010892,52.736,6.9362,1.1365e-07,2.0826e-05,0.00028821,2.2166e-08,0.317
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Melamine urea formaldehyde, MF, hardener, at plant - RNA","Melamine urea formaldehyde, MF, hardener, at plant",kg,0.013882,0.0004762,0.14981,1.4199,6.0676e-10,7.2803e-08,0.00052729,0.0,0.22848
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Melamine urea formaldehyde, MF, resin, at plant - RNA","Melamine urea formaldehyde, MF, resin, at plant",kg,0.0039992,0.00041869,2.2396e-05,1.6123,0.0,1.023e-12,4.9317e-05,0.0,0.13087
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Melamine urea formaldehyde, MF, resin, neat, 60% solids - RNA","Melamine urea formaldehyde, MF, resin, neat, 60% solids",kg,0.0022306,0.000277,2.8885,0.50623,6.1739e-09,1.1285e-06,0.00014655,1.1224e-09,0.050436
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Methyl methacrylate, MMA; at plant - US","Methyl methacrylate, MMA",kg,0.022981,0.0023757,32.329,9.4814,7.1564e-08,1.2894e-05,0.00058058,3.0933e-08,0.45666
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Methylene diphenyl diisocyanate, MDI; at plant, mass alloc - RNA","Methylene diphenyl diisocyanate, MDI, resin, at plant",kg,0.0045128,0.0010157,13.326,1.8739,2.8613e-08,5.2032e-06,0.00018384,1.8627e-08,0.1047
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Methylene diphenyl diisocyanate, MDI; at plant, mass and elemental alloc - RNA","Methylene diphenyl diisocyanate, MDI, resin, at plant",kg,0.0054414,0.0014183,11.568,2.1543,2.474e-08,4.4934e-06,0.00022198,1.0563e-08,0.12268
"31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","Phenol formaldehyde resin, neat, 47% solids - RNA","Phenol formaldehyde resin, neat, 47% solids",kg,0.00090258,6.6759e-05,2.9157,0.32907,6.2651e-09,1.1471e-06,7.7124e-05,2.6196e-09,0.025487
