impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwd, avg, state or private moist forest, at forest rd, INW - US",Pulpwood; softwd; avg; state or private moist forest; at forest rd,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwood, average, at forest road, INW - US",Pulpwood; softwood; average; at forest road,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwood, average, at forest road, NE-NC - RNA","Pulpwood, softwood, average, at forest road",m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwood, average, state or private dry forest, at forest road, INW - US",Pulpwood; softwood; average; state or private dry forest; at forest road,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, softwood, national forest, average, at forest road, INW - US",Pulpwood; softwood; national forest; average; at forest road,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at logyard, NE-NC - US",Roundwood; hardwood; green; at logyard,m3,0.095469,0.013301,151.11,20.997,3.2735e-07,5.9098e-05,0.0022811,8.9953e-08,3.2588
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at logyard, SE - US",Roundwood; hardwood; green; at logyard,m3,0.039679,0.0057111,87.429,9.7295,2.0105e-07,3.4197e-05,0.0010972,5.5516e-08,1.337
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at mill, E - US",Roundwood; hardwood; green; at mill,m3,0.088476,0.014918,16.165,22.57,3.6748e-08,6.3075e-06,0.001984,4.7371e-08,3.1059
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at mill, NE-NC - US",Roundwood; hardwood; green; at mill,m3,0.017258,0.0057591,8.0522,11.313,1.8206e-08,3.1416e-06,0.00081457,2.3574e-08,0.6024
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Roundwood, hardwood, green, at mill, SE - US",Roundwood; hardwood; green; at mill,m3,0.0080855,0.0026981,3.7725,5.3003,8.5293e-09,1.4719e-06,0.00038163,1.1044e-08,0.28222
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Skidding, aerial cable yarder, medium - US",Skidding; aerial cable yarder; medium,h,1.2429,0.12502,81.718,110.33,1.8863e-07,3.1892e-05,0.015098,2.4017e-07,43.738
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Skidding, wheeled cable skidder, 120-160 HP - RNA","Skidding, wheeled cable skidder, 120-160 HP",h,0.57899,0.058229,38.045,51.391,8.7823e-08,1.4848e-05,0.0070326,1.1182e-07,20.375
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Corn grain, harvested and stored - RNA","Corn grain, harvested and stored",kg,0.0003328,0.0001707,1.8983,0.16055,4.5509e-10,6.3283e-08,1.4704e-05,4.1247e-10,0.0022507
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Corn stover, carted - RNA","Corn stover, carted",kg,0.0014974,0.00021788,0.027519,0.0386,6.3748e-11,1.0918e-08,5.3348e-05,1.2576e-11,0.00039716
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Corn stover, ground and stored - RNA","Corn stover, ground and stored",kg,0.0020294,0.00028486,2.2833,0.10127,4.8124e-09,8.9337e-07,7.7642e-05,7.9285e-10,0.0029015
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Fertilizer, corn, 2022 - RNA","Fertilizer, corn",m2,0.00034231,0.0001763,0.15479,0.080527,3.7101e-10,6.4998e-08,1.5108e-05,4.2369e-10,0.0022004
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Fertilizer, stover, 2022 - RNA","Fertilizer, stover",m2,0.00063246,9.1716e-05,0.011195,0.015702,2.5958e-11,4.4444e-09,2.2521e-05,4.0156e-12,0.00013467
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Fertilizer, switchgrass, 2022 - RNA","Fertilizer, switchgrass",m2,0.002807,0.00017748,0.026928,0.064804,5.6139e-11,1.0451e-08,9.9452e-05,9.8659e-12,0.00033789
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Fertilizer, winter wheat straw, 2022 - RNA","Fertilizer, winter wheat straw",m2,0.00010076,1.6968e-05,0.0018566,0.0026745,4.3992e-12,7.4023e-10,3.5915e-06,7.1681e-13,2.7279e-05
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production",Grinding - RNA,Grinding,kg,3.8693e-05,2.0495e-06,0.77189,0.017808,1.6243e-09,3.0194e-07,3.2127e-06,2.667e-10,0.00082168
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Harvest, corn, single pass - RNA","Harvest, corn, single pass",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Harvest, switchgrass - RNA","Harvest, switchgrass",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Harvest, wheat, single pass - RNA","Harvest, wheat, single pass",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Harvesting, fresh fruit bunch, at farm, 2003 - RNA","Harvesting, fresh fruit bunch, at farm",kg,0.00063683,6.3257e-05,0.040737,0.064364,9.4115e-11,1.5899e-08,7.6809e-06,1.1972e-10,0.022332
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Lime, agricultural, corn production - RNA","Lime, agricultural, corn production",m2,0.00018006,3.6424e-06,0.09457,0.063165,2.3734e-10,4.1319e-08,9.1586e-06,4.0189e-10,0.0014378
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Pesticide, corn, 2022 - RNA","Pesticide, corn",m2,1.4931e-08,4.9826e-09,1.8191,9.7881e-06,9.8324e-11,1.2283e-10,7.0475e-10,2.0395e-14,5.2118e-07
